book_id,title,name_author,gender_author,nationality_author,publisher,perspective ,filename,OCR kwaliteit,
69,De open stad,"Breedveld, Walter",0,0,De Fontein,2,1963_Breedveld_Deopenstad_verbeterd.txt,,
70,Liefdes schijnbewegingen,"Campert, Remco",0,0,De Bezige Bij,2,1963_Campert_Liefdesschijnbewegingen_verbeterd.txt,,
71,Omtrent Deedee,"Claus, Hugo",0,1,De Bezige Bij,3,1963_Claus_Omtrentdeedee_annotated.txt,Glaude = Claude,
72,Bezwarend getuigenis,"Crollius Roest, B",0,0,Querido,1,1963_CrolliusRoest_Bezwarendgetuigenis_verbeterd.txt,,
74,Eiland der demonen,"Fabricius, Johan",0,0,Conserve,1,1963_Fabricius_Eilandderdemonen.txt,,
75,De rokkenjagers,"Faro, Isaac",0,0,Querido,1,1963_Faro_Derokkenjagers.txt,,
76,De magere heilige,"Geel, Rudolf J",0,0,De Bezige Bij,2,1963_Geel_Demagereheilige_verbeterd.txt,,
77,Buiten de grens,"Gestel, Peter van",0,0,Querido,2,1963_Gestel_Buitendegrens_verbeterd.txt,,
78,Het versterkte huis,"Hidding, Johan",0,0,J. H. Kok,2,1963_Hidding_Hetversterktehuis_verbeterd.txt,,
79,Een pak slaag,"Koolhaas, Anton",0,0,Van Oorschot,2,1963_Koolhaas_Eenpakslaag_verbeterd.txt,,
80,Een vreemdeling op aarde,"Leeuwen, Boeli van",0,0,Van Kampen,2,1963_Leeuwen_Eenvreemdelingopaarde_verbeterd.txt,,
81,Kerend geluk,"Loon, Foka van",1,0,J.H. Kok,2,1963_Loon_Kerendgeluk_verbeterd.txt,,
82,Het erfdeel,"Martin, Hans",0,0,Leopold,2,1963_Martin_Heterfdeel_verbeterd.txt,,
83,De ontmaskering,"Mok, Maurits",0,0,A. A. M. Stols/ J.-P. Barth,1,1963_Mok_Deontmaskering_verbeterd.txt,,
84,De ridder is gestorven,"Nooteboom, Cees",0,0,Querido,1,1963_Nooteboom_Deridderisgestorven.txt,,
85,De eeuwige bruid,"Reeuwijk, Pieter",0,0,De Arbeiderspers,1,1963_Reeuwijk_Deeeuwigebruid_verbeterd.txt,,
86,Op weg naar het einde,"Reve, Gerard van het",0,0,Van Oorschot,1,1963_Reve_Opwegnaarheteinde_verbeterd.txt,,
87,Onze heer de groot,"Romijn, Aart",0,0,Bosch & Keuning,2,1963_Romijn_Onzeheerdegroot_verbeterd.txt,,
88,De traditie,"Rop, Janine de",1,1,De Arbeiderspers,2,1963_Rop_Detraditie_verbeterd.txt,,
89,Een kater in blik,"Schneiders, AL",0,0,Querido,1,1963_Schneider_Eenkaterinblik_verbeterd.txt,,
90,Hudson Nocturne,"Smelik, Klaas",0,0,99,1,1963_Smelik_Hudsonnocturne_verbeterd.txt,,
91,Hannibal en de ratten,"Toonder, Jan Gerhard",0,0,De Bezige Bij,2,1963_Toonder_Hannibalenderatten_verbeterd.txt,,
92,Een bizonder vreemde dief,"Vanvugt, Ewald",0,0,De Bezige Bij,1,1963_Vanvugt_Eenbizondervreemdedief_verbeterd.txt,,
93,De krekels van de ziel,"Walcheren, G van de",0,0,Meulenhoff,1,1963_Walcheren_Dekrekelsvandeziel_verbeterd.txt,,
94,De laatste Levano,"Wertheim, M",0,0,Elsevier,1,1961_Wertheim_Delaatstelevano_verbeterd.txt,Matige kwaliteit,
95,Een eiland worden,"Wispelaere, Paul de",0,1,De Bezige Bij,1,1963_Wispelaere_Eeneilandworden_verbeterd.txt,,
96,Een roos van vlees,"Wolkers, Jan",0,0,Meulenhoff,2,1963_Wolkers_Eenroosvanvlees.txt,,
97,De autocraten,"Zeijst, Rutger van",0,0,De Arbeiderspers,1,1963_Zeijst_Deautocraten.txt,,
98,Kieren van de nacht,"Zernike, E",1,0,Querido,2,1963_Zernike_Kierenvandenacht.txt,Matige kwaliteit,
99,Geen wolf te zien,"Zikken, Aya",1,0,De Arbeiderspers,1,1963_Zikken_Geenwolftezien.txt,,
100,Niet naar de maan gaan,"Berghuis, Hans",0,0,Elsevier,1,1964_Berghuis_Nietnaardemaangaan.txt,Matige kwaliteit,
101,De gehoorzame dode,"Brakman, Willem",0,0,Querido,1,1964_Brakman_Degehoorzamedode.txt,Matige kwaliteit,
102,Gokma-state,"Cannegieter, HG",0,0,99,2,1964_Cannegieter_Gokmastate_verbeterd.txt,,
103,"Ik, Jan Cremer","Cremer, Jan",0,0,De Bezige Bij,1,1964_Cremer_Ikjancremer1.txt,,
104,Als kantwerk aan de kim,"Daisne, Johan",0,1,Manteau,2,1964_Daisne_Alskantwerkaandekim_verbeterd.txt,,
105,De bazuinengelen,"Dendermonde, Max",0,0,Meijer,1,1964_Dendermonde_Debazuinengelen_verbeterd.txt,,
106,Donker van uiterlijk,"Dermout, Maria",1,0,Querido,2,1964_Dermout_Donkervanuiterlijk_verbeterd.txt,,
107,Wat u nodig hebt mevrouw is een vriend,"Fabricius, Johan",0,0,Leopold,1,1964_Fabricius_Watunodighebtmevrouwiseenvriend.txt,,
108,Een groene pasen,"Jager, Okke",0,0,Zomer & Keuning,2,1964_Jager_Eengroenepasen_verbeterd.txt,,
109,De wrede madonna,"Kampen, Anthony van",0,0,De Boer,1,1964_Kampen_Dewredemadonna_verbeterd.txt,,
110,De hond in het lege huis,"Koolhaas, Anton",0,0,Van Oorschot,2,1964_Koolhaas_Dehondinhetlegehuis_verbeterd.txt,,
111,De belofte aan Rachel,"Lampo, Hubert",0,1,Meulenhoff,1,1964_Lampo_Debelofteaanrachel.txt,,
112,Killers zonder genade,"Multon, Edward",0,0,Kerco,2,1964_Multon_Killerszondergenade_verbeterd.txt,,
113,In plaats van moord,"Nathusius, Marie-Sophie",1,0,Querido,1,1964_Nathusius_Inplaatsvanmoord_verbeterd.txt,,
114,Verboden tijd,"Polet, Sybren",0,0,De Bezige Bij,2,1964_Polet_Verbodentijd_verbeterd.txt,,
115,Hemel en dier,"Raes, Hugo",0,1,De Bezige Bij,1,1964_Raes_Hemelendier_verbeterd.txt,,
116,De Kwerulant,"Reeuwijk, Pieter",0,0,De Arbeiderspers,1,1964_Reeuwijk_Dekwerulant_verbeterd.txt,,
117,Kinderen en Erfgenamen,"Risseeuw, PJ",0,0,J.H. Kok,2,1964_Risseeuw_Kinderenenerfgenamen_verbeterd.txt,,
118,Het boek lielje,"Shaffy, Ramses",0,0,Servire,2,1964_Shaffy_Hetboeklielje_verbeterd.txt,,
119,Darwin en gezellen,"Vanvugt, Ewald",0,0,De Bezige Bij,1,1964_Vanvugt_Darwinengezellen_verbeterd.txt,,
