book_id,character_id,name,gender,Opmer,Opmer,Opmer,
15,2,Lucas,1,,,,
15,3,Piet,1,,,,
15,4,Petra,2,,,,
15,5,Bertje,1,,,,
15,6,Françoise,2,,,,
15,7,Louis,1,,,,
15,8,Blériotte,2,,,,
15,9,Pierre,1,,,,
15,10,Marie José Neuville,2,,,,
15,11,Ida,2,,,,
15,12,Daniël,1,,,,
15,13,Geert,1,,,,
16,1,Wouter,1,,,,
16,2,Aaike,1,,,,
16,3,Miesje,2,,,,
16,4,Tjerk,1,,,,
16,5,Beckers,1,,,,
16,6,Herman,1,,,,
16,7,Leeckeren,1,,,,
16,8,Mertens,1,,,,
17,1,Gerrit,1,,,,
17,2,Albert,1,,,,
17,3,Sjouke,2,,,,
17,4,Maaike,2,,,,
17,5,Hendrik,1,,,,
17,6,Titus,1,,,,
17,7,Tjerd,1,,,,
17,8,Doefje,2,,,,
17,9,Ruurd,1,,,,
17,10,Petronella,2,,,,
17,11,Derk,1,,,,
17,12,Hendrik,1,,,,
17,13,Foeke,2,,,,
17,14,Ernst,1,,,,
17,15,Frouke,2,,,,
17,16,David,1,,,,
17,17,Douwe,1,,,,
17,18,Andreas,1,,,,
17,19,Sieben,1,,,,
17,20,Henri,1,,,,
17,21,Maximiliaan,1,,,,
18,1,Keller,1,,,,
18,2,Lucy,2,,,,
18,3,Helen,2,,,,
18,4,Wilkins,1,,,,
18,5,Kramer,1,,,,
18,6,Norton,1,,,,
18,7,Herbert,1,,,,
18,8,Sylvia,2,,,,
18,9,Ans,2,,,,
18,10,Goedhals,1,,,,
18,11,Els,2,,,,
18,12,Paul,1,,,,
18,13,Gerda,2,,,,
18,14,Emmy,2,,,,
18,15,Hartog,1,,,,
18,16,Lois,2,,,,
18,17,Tom,1,,,,
18,18,Annie,2,,,,
18,19,De Graaf,1,,,,
18,20,Van Beveren,1,,,,
19,1,Inge,2,,,,
19,2,Marion,2,,,,
19,3,Bram,1,,,,
19,4,Jaap,1,,,,
19,5,Reinier,1,,,,
19,6,Edith,2,,,,
19,7,Harro,1,,,,
19,8,Rein,1,,,,
19,9,Charlot,2,,,,
19,10,Gert,1,,,,
19,11,Erik,1,,,,
19,12,Diederick,1,,,,
19,13,Loesje,2,,,,
19,14,Marlies,2,,,,
19,15,Toos,2,,,,
19,16,Arend,1,,,,
19,17,Robin,1,,,,
19,18,Monica,2,,,,
19,19,Magda,2,,,,
19,20,Juliette,2,,,,
19,21,Laurens,1,,,,
19,22,Koert,1,,,,
20,1,Elisabeth,2,,,,
20,2,Eugène,1,,,,
20,3,Jan,1,,,,
20,4,Nel,2,,,,
20,5,Steffen,1,,,,
20,6,Karel,1,,,,
20,7,Letty,2,,,,
20,8,Dick,1,,,,
20,9,Erik,1,,,,
20,10,Tan,1,,,,
20,11,Martha,2,,,,
20,12,Lisette,2,,,,
20,13,Nina,2,,,,
20,14,Yvonne,2,,,,
21,1,Lodewijk,1,,,,
21,2,Arlene,2,,,,
21,3,Harrison,1,,,,
21,4,Gerland,2,,,,
21,5,Elvis,1,,,,
21,6,Samuel,1,,,,
21,7,Yvonne,2,,,,
21,8,Ann,2,,,,
21,9,Dick,1,,,,
21,10,Homer,1,,,,
21,11,Paul,1,,,,
21,12,Bridget,2,,,,
21,13,Sloshey,1,,,,
21,14,McBride,1,,,,
21,15,Proctor,1,,,,
21,16,Richard,1,,,,
21,17,Sidin,1,,,,
21,18,Rutger,1,,,,
21,19,Josiah,1,,,,
22,1,Christiaan,1,,,,
22,2,Karel,1,,,,
22,3,Connie,2,,,,
22,4,Emma,2,,,,
22,5,Frédérique,2,,,,
22,6,Jantje,1,,,,
22,7,André,1,,,,
22,8,Henk,1,,,,
22,9,Carla,2,,,,
23,1,Orlando,1,,,,
23,2,Roosje,2,,,,
23,3,Jean,1,,,,
23,4,Emma,2,,,,
23,5,Louis,1,,,,
23,6,Paul,1,,,,
23,7,Laure,1,,,,
23,8,Pierre,1,,,,
23,9,Fons,1,,,,
23,10,Beria,1,,,,
23,11,Marianne,2,,,,
23,12,Tombalion,1,,,,
23,13,mevrouw Brettschneider,2,,,,
23,14,Vera,2,,,,
23,15,Florijn,1,,,,
23,16,Annie,2,,,,
24,1,Godgegeven,1,,,,
24,2,Lokien,1,,,,
24,3,Merel,2,,,,
24,4,Naomi,2,,,,
24,5,Viëtor,1,,,,
24,6,Bender,1,,,,
24,7,Timman,1,,,,
25,1,Myriam,2,,,,
25,2,Nathan,1,,,,
25,3,Suze,2,,,,
25,4,Ruben,1,,,,
25,5,Léon,1,,,,
25,6,Sarah,2,,,,
25,7,Jo,1,,,,
25,8,Gideon,1,,,,
25,9,Simon,1,,,,
25,10,Sem,1,,,,
25,11,mevrouw Kater,2,,,,
25,12,Sal,1,,,,
25,13,Sam,1,,,,
25,14,Manuel,1,,,,
25,15,Bernard,1,,,,
25,16,Klazien,2,,,,
25,17,David,1,,,,
25,18,Rika,2,,,,
25,19,Rebecca,2,,,,
25,20,Liesje,2,,,,
26,1,Herman,1,,,,
26,2,Walter,1,,,,
26,3,Billy,1,,,,
26,4,Deborah,2,,,,
26,5,Erik,1,,,,
26,6,Lien,2,,,,
26,7,Boyd,1,,,,
26,8,Morfie,1,,,,
26,9,Jan,1,,,,
