1,1,Kaay,2,0.09090909090909091,0.0,11789.545454545454,5.5511151231257815e-17,0.28867498619597276,0,corpus_ES-1960s
1,10,Magliano,1,0.09090909090909091,0.0,32647.972027972024,0.11911947342084589,0.28867498619648774,0,corpus_ES-1960s
1,11,Theo,1,0.09090909090909091,0.0,11789.545454545454,1.1102230246251563e-16,0.28867498619597276,0,corpus_ES-1960s
1,12,So,1,0.09090909090909091,0.0,32647.972027972024,0.11911947342084608,0.28867498619648774,0,corpus_ES-1960s
1,2,Rosa,2,0.36363636363636365,0.16363636363636364,53052.954545454544,0.39181230827046526,0.28867565398815703,0,corpus_ES-1960s
1,3,Carlo,1,0.36363636363636365,0.15454545454545454,53052.954545454544,0.4851916001340411,0.2886756539885003,0,corpus_ES-1960s
1,4,Nina,2,0.2727272727272727,0.0,42442.36363636363,0.5653334183404878,0.2886756539888436,0,corpus_ES-1960s
1,5,Anna Montana,2,0.0,0.0,0.0,2.7755575615628907e-17,0.2886747635989213,0,corpus_ES-1960s
1,6,Vincentius,1,0.0,0.0,0.0,-5.5511151231257815e-17,0.2886747635989213,0,corpus_ES-1960s
1,7,Paola,2,0.09090909090909091,0.0,32647.972027972024,0.14750881147993153,0.28867498619648774,0,corpus_ES-1960s
1,8,Mario,1,0.18181818181818182,0.0,32647.972027972024,0.4912561500828833,0.2886754313916205,0,corpus_ES-1960s
1,9,Emilia,2,0.0,0.0,0.0,8.326672684688673e-17,0.2886747635989213,0,corpus_ES-1960s
2,1,Jonathan,1,0.7142857142857142,0.402930402930403,136557.69230769225,0.6354748351307754,0.25819996325956435,0,corpus_ES-1960s
2,10,W. van Driel,1,0.0,0.0,0.0,-8.326672684688673e-17,0.25819861271098443,0,corpus_ES-1960s
2,11,Anka,2,0.0,0.0,0.0,5.5511151231257815e-17,0.25819861271098443,0,corpus_ES-1960s
2,12,Rudolf,1,0.07142857142857142,0.0,80693.18181818182,0.12150624610291977,0.25819871659975796,0,corpus_ES-1960s
2,13,A. van Titsentatsen,1,0.0,0.0,0.0,2.775557561562891e-16,0.25819861271098443,0,corpus_ES-1960s
2,14,Tonny,1,0.0,0.0,0.0,-8.326672684688673e-17,0.25819861271098443,0,corpus_ES-1960s
2,15,Miroja,2,0.21428571428571427,0.009157509157509158,93434.21052631579,0.19864283789416823,0.25819892437646896,0,corpus_ES-1960s
2,2,John,1,0.21428571428571427,0.05677655677655678,93434.21052631579,0.21376841921104917,0.25819892437646896,0,corpus_ES-1960s
2,3,Käthe,2,0.14285714285714285,0.0,61215.51724137932,0.39348570940158123,0.2581990282653261,0,corpus_ES-1960s
2,4,Suze,2,0.14285714285714285,0.0,84535.71428571429,0.15023128525355783,0.25819882048807163,0,corpus_ES-1960s
2,5,Jansen,1,0.14285714285714285,0.0,63401.78571428572,0.28388617707542946,0.25819892437688696,0,corpus_ES-1960s
2,6,Claudina,2,0.21428571428571427,0.005494505494505495,88762.50000000001,0.18965415800834212,0.25819892437642716,0,corpus_ES-1960s
2,7,Doris,2,0.14285714285714285,0.0,84535.71428571429,0.150231285253558,0.25819882048807163,0,corpus_ES-1960s
2,8,Karel,1,0.14285714285714285,0.0,61215.51724137932,0.39348570940158095,0.2581990282653261,0,corpus_ES-1960s
2,9,Teresa,2,0.14285714285714285,0.0,84535.71428571429,0.15776915302457864,0.25819882048811343,0,corpus_ES-1960s
3,1,Louis,1,0.5384615384615385,0.029914529914529916,122353.61538461538,0.41865895736347314,0.26726172798724984,0,corpus_ES-1960s
3,10,Cottenier,1,0.6153846153846154,0.07158119658119658,142745.88461538462,0.44886741322889695,0.2672618252021791,0,corpus_ES-1960s
3,11,Mie,2,0.07692307692307693,0.0,90155.29554655869,0.030065125748265274,0.2672608530520028,0,corpus_ES-1960s
3,12,Livina,2,0.3076923076923077,0.005769230769230769,122353.61538461538,0.18119851172630647,0.2672611446972502,0,corpus_ES-1960s
3,13,Tineke,2,0.0,0.0,0.0,5.551115123125783e-17,0.26726075583703823,0,corpus_ES-1960s
3,14,Tjeef,1,0.0,0.0,0.0,-6.938893903907228e-17,0.26726075583703823,0,corpus_ES-1960s
3,2,Jan de Vos,1,0.0,0.0,0.0,1.1102230246251565e-16,0.26726075583703823,0,corpus_ES-1960s
3,3,Marieke,2,0.6153846153846154,0.04594017094017094,131765.4319526627,0.47909579795228247,0.267261922417073,0,corpus_ES-1960s
3,4,Leentje,2,0.38461538461538464,0.01517094017094017,131765.4319526627,0.23088981196988537,0.26726124191232087,0,corpus_ES-1960s
3,5,Annemie,2,0.46153846153846156,0.003205128205128205,122353.61538461538,0.34536522832881034,0.2672615335572853,0,corpus_ES-1960s
3,6,Jan de Lichte,1,0.0,0.0,0.0,2.220446049250313e-16,0.26726075583703823,0,corpus_ES-1960s
3,7,Judoca,2,0.5384615384615385,0.13376068376068376,155722.7832167832,0.25330458525075594,0.26726143634186106,0,corpus_ES-1960s
3,8,Jean,1,0.3076923076923077,0.007692307692307694,107059.41346153844,0.24821630444810514,0.267261339127144,0,corpus_ES-1960s
3,9,Jacques,1,0.3076923076923077,0.007692307692307694,107059.41346153844,0.2482163044481052,0.267261339127144,0,corpus_ES-1960s
4,1,Teta,2,0.3125,0.05163690476190476,104244.10845588235,0.31224303855854857,0.2425358588805384,0,corpus_ES-1960s
4,10,Jo,2,0.375,0.004166666666666667,104244.10845588235,0.3763485462815253,0.24253607571679545,0,corpus_ES-1960s
4,11,Henk,1,0.3125,0.05788690476190476,118143.32291666666,0.14140084920946,0.2425355697639063,0,corpus_ES-1960s
